Citizenship Country,Atlanta Area of Responsibility,Baltimore Area of Responsibility,Boston Area of Responsibility,Buffalo Area of Responsibility,Chicago Area of Responsibility,Dallas Area of Responsibility,Denver Area of Responsibility,Detroit Area of Responsibility,El Paso Area of Responsibility,HQ Area of Responsibility,Harlingen Area of Responsibility,Houston Area of Responsibility,Los Angeles Area of Responsibility,Miami Area of Responsibility,New Orleans Area of Responsibility,New York City Area of Responsibility,Newark Area of Responsibility,Philadelphia Area of Responsibility,Phoenix Area of Responsibility,Salt Lake City Area of Responsibility,San Antonio Area of Responsibility,San Diego Area of Responsibility,San Francisco Area of Responsibility,Seattle Area of Responsibility,St. Paul Area of Responsibility,Washington Area of Responsibility
CROATIA,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0
CUBA,130,4,8,23,284,296,22,79,155,0,151,364,32,935,150,28,133,44,42,21,194,5,12,51,121,18
CURACAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CYPRUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CZECH REPUBLIC,1,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
CZECHOSLOVAKIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DEM REP OF THE CONGO,6,0,18,0,14,3,0,2,0,0,2,1,0,1,2,1,0,3,6,4,1,1,1,3,6,3
DENMARK,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
DJIBOUTI,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOMINICA,1,0,1,2,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0
DOMINICAN REPUBLIC,71,21,513,115,61,36,5,55,11,0,122,39,19,484,90,509,446,433,11,2,40,3,8,5,16,12
ECUADOR,72,80,272,123,393,71,20,59,111,0,329,56,53,114,73,2268,950,142,37,19,122,8,5,29,564,12
EGYPT,5,1,3,3,3,4,0,0,1,0,0,4,1,6,15,3,12,10,2,0,7,0,3,0,1,1
EL SALVADOR,315,387,143,63,301,686,77,70,47,1,240,1029,319,317,568,160,169,91,57,128,222,24,180,27,136,709
EQUATORIAL GUINEA,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERITREA,2,2,0,2,0,1,2,0,0,0,0,0,0,0,2,0,0,1,1,2,0,2,0,3,4,1
ESTONIA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ESWATINI,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETHIOPIA,2,5,2,0,0,1,0,2,0,0,0,0,0,0,3,0,0,1,0,3,0,8,0,0,6,8
FIJI,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,1,0,0
FINLAND,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FRANCE,4,2,2,1,1,3,0,2,0,0,0,1,3,9,2,1,3,0,0,0,1,0,0,2,0,5
FRENCH GUIANA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FRENCH POLYNESIA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GABON,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
GAMBIA,2,2,0,1,1,1,0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,0,0,1,0,2
GEORGIA,2,3,1,0,1,0,6,4,0,1,0,2,1,1,7,32,10,12,0,0,0,1,2,0,0,1
GERMANY,0,0,1,1,2,0,0,0,1,0,0,0,1,7,2,0,0,3,2,1,0,0,6,0,2,1
GHANA,5,4,4,5,0,3,2,9,0,0,0,3,0,1,4,7,8,10,1,2,0,2,0,2,2,1
GREECE,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,2,0
GRENADA,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GUADELOUPE,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
GUATEMALA,1030,351,398,78,1601,1145,128,356,185,0,541,1328,411,2671,2698,171,378,357,391,182,500,87,172,146,514,472
GUINEA,5,2,1,6,4,1,0,2,0,0,0,0,0,1,2,5,6,7,4,1,0,15,2,2,2,1
GUINEA-BISSAU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GUYANA,2,1,2,21,1,1,0,0,0,0,0,1,0,6,4,7,12,8,0,1,0,0,0,1,1,0
HAITI,28,13,78,13,34,0,3,10,1,0,4,3,2,321,24,6,40,28,2,0,19,3,1,7,5,3
HONDURAS,1021,342,134,55,1289,1657,180,211,131,1,727,2396,230,1506,2442,161,312,155,145,421,1649,23,251,186,234,548
HONG KONG,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0
HUNGARY,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,0,1,0,0,0,0,2
ICELAND,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDIA,35,4,19,24,105,23,13,20,2,0,4,13,14,50,53,38,36,27,23,10,11,2,29,194,16,5
INDONESIA,0,0,1,0,2,1,1,0,0,0,0,0,1,2,13,0,0,0,0,0,0,0,0,0,0,0
IRAN,0,0,0,0,2,12,1,0,3,0,0,15,8,0,7,0,0,1,1,1,29,2,4,2,0,3
IRAQ,0,1,2,1,6,4,0,9,0,0,0,3,3,1,6,0,0,2,2,3,1,4,0,1,2,3
IRELAND,1,0,11,0,0,2,0,0,0,0,0,0,0,1,5,4,4,5,0,0,0,0,1,1,1,1
ISRAEL,1,0,3,0,5,2,0,2,0,0,0,0,4,6,3,1,3,3,1,2,2,0,0,1,1,2
ITALY,5,0,5,0,4,4,1,0,0,0,0,2,3,20,2,1,4,4,2,4,0,2,2,0,0,1
IVORY COAST,2,0,1,2,1,1,0,0,0,0,0,1,0,1,1,0,2,1,2,1,1,0,0,0,2,0
JAMAICA,74,11,59,69,18,13,7,20,3,1,2,7,17,274,100,110,51,71,7,3,2,7,4,3,6,3
JAPAN,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
JORDAN,2,0,2,1,12,17,2,5,0,0,1,8,4,8,7,1,2,3,1,2,7,3,3,2,3,7
KAZAKHSTAN,0,0,1,0,0,0,0,1,1,0,0,0,5,1,2,1,0,0,0,0,0,1,1,0,1,0
KENYA,8,2,5,0,9,9,0,0,2,0,0,0,1,5,10,0,2,6,2,1,2,0,0,5,4,2
KOREA,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
KOSOVO,1,0,0,0,1,2,0,1,0,0,0,0,0,1,0,3,0,2,1,0,5,0,0,0,0,0
KUWAIT,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
KYRGYZSTAN,1,0,1,0,3,0,7,3,0,0,0,0,2,1,0,1,1,2,0,0,0,0,0,1,0,0
LAOS,4,0,1,2,4,4,0,0,0,0,0,5,4,0,12,0,1,2,0,1,0,2,19,3,8,0
LATVIA,0,0,1,0,0,0,1,1,0,0,0,0,0,2,3,1,2,0,0,1,0,0,0,0,0,0
LEBANON,1,0,0,0,0,1,0,6,0,0,0,1,3,2,2,0,3,0,1,0,12,0,0,0,0,0
LIBERIA,7,3,3,1,2,1,0,3,2,0,0,3,2,1,4,1,3,18,4,1,0,0,1,0,19,2
LIBYA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
LITHUANIA,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,1,0,2,0
MALAWI,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MALAYSIA,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1
MALI,2,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,1,4,1,0,3,0,1,0,0,1
MALTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MARSHALL ISLANDS,0,0,0,0,1,3,0,0,0,0,0,1,1,0,114,1,0,0,0,3,0,0,6,1,3,0
MAURITANIA,2,0,0,2,35,6,1,13,0,0,0,1,2,3,18,18,1,5,2,0,14,3,0,0,0,7
MAURITIUS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MEXICO,3566,267,154,204,4542,7697,1011,976,1406,2,3476,6518,3276,2896,5684,152,830,666,3642,2549,3180,483,1941,920,974,509
"MICRONESIA, FEDERATED STATES OF",2,1,0,0,10,3,1,0,0,0,0,5,0,0,22,0,0,0,2,6,0,0,46,7,15,0
MOLDOVA,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,3
MONGOLIA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MONTENEGRO,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MOROCCO,3,0,1,1,2,0,1,2,0,0,2,0,0,2,1,0,1,2,3,4,3,2,1,0,2,1
MOZAMBIQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
NAMIBIA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
NEPAL,0,2,2,1,1,6,1,0,0,0,0,2,0,0,0,4,0,1,2,0,11,0,0,1,0,1
NETHERLANDS,0,0,1,0,0,0,0,2,0,0,0,0,0,7,1,0,1,3,0,1,0,0,0,1,0,0
NETHERLANDS ANTILLES,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
NEW ZEALAND,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
NICARAGUA,500,145,83,25,1451,662,78,374,36,0,408,494,912,1275,861,304,214,57,80,72,1839,4,78,150,483,94
NIGER,2,0,0,0,0,2,0,3,0,0,0,1,1,0,1,0,1,2,0,0,0,0,0,0,0,0
NIGERIA,23,14,10,1,32,43,2,4,4,0,0,27,9,9,18,3,16,22,2,3,2,2,2,5,9,3
NORTH MACEDONIA,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
NORWAY,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PAKISTAN,2,1,6,2,5,6,0,3,0,0,1,10,4,4,1,10,5,5,3,0,2,4,1,0,0,14
PALAU,0,0,0,0,2,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,1,2,0
PANAMA,1,3,4,2,9,2,1,2,2,0,0,5,2,13,6,23,13,6,1,0,14,0,1,0,3,3
PAPUA NEW GUINEA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PARAGUAY,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,9,2,1,0,2,1,0,0,0,0,0
PERU,78,49,87,29,107,70,53,23,18,0,67,26,217,149,47,428,503,43,19,203,78,8,38,77,9,87
PHILIPPINES,1,2,1,3,5,0,1,1,0,0,1,2,17,10,9,2,4,4,2,10,1,0,29,11,1,2
POLAND,1,1,2,0,4,2,1,0,0,0,0,1,3,7,3,3,8,7,3,1,0,0,0,0,3,3
PORTUGAL,2,1,19,0,1,3,0,0,0,0,0,2,0,7,1,1,8,0,0,1,0,0,0,0,0,0
ROMANIA,27,19,14,2,78,31,8,25,2,0,2,47,35,73,56,7,23,32,18,38,30,4,2,24,23,24
RUSSIA,12,2,9,4,12,2,31,16,1,1,1,4,49,29,15,40,9,40,8,2,4,6,21,23,2,3
RWANDA,0,0,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,2,0
SAMOA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,2,0,0
SAO TOME AND PRINCIPE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAUDI ARABIA,0,0,1,0,3,2,0,3,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0
SENEGAL,14,8,0,1,25,3,1,11,0,0,0,2,0,0,16,25,2,8,3,0,2,0,1,1,4,0
SERBIA,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0
SIERRA LEONE,0,1,1,2,0,1,0,2,0,0,0,1,1,1,1,0,0,6,1,1,0,2,0,1,0,3
SINT MAARTEN(DUTCH),0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
SLOVAKIA,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0
SLOVENIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SOMALIA,3,0,2,1,8,1,4,7,0,0,0,1,0,0,4,0,0,0,2,4,0,8,2,7,20,0
SOUTH AFRICA,2,0,1,0,2,2,1,2,1,0,0,0,2,4,1,1,2,0,0,1,1,0,0,0,2,2
SOUTH KOREA,6,1,1,1,1,5,0,0,1,0,0,0,4,0,3,0,5,1,1,3,1,0,3,5,1,2
SOUTH SUDAN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,2
SPAIN,1,0,9,0,10,6,0,1,0,0,3,4,3,43,4,3,18,10,1,5,2,0,0,1,2,1
SRI LANKA,0,0,0,2,0,0,1,1,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,1,0,0
ST. KITTS-NEVIS,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0
ST. LUCIA,0,0,1,2,0,1,0,0,0,0,0,3,0,6,0,0,2,0,0,1,0,0,0,0,0,0
ST. VINCENT-GRENADINES,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
SUDAN,0,0,1,3,5,2,1,3,1,0,0,6,1,1,4,0,0,2,5,3,6,4,1,2,6,0
SURINAME,0,0,1,2,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0
SWEDEN,2,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0
SWITZERLAND,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
SYRIA,1,0,0,0,2,7,5,1,0,0,0,2,6,1,3,0,1,0,1,0,16,0,1,0,0,0
TAIWAN,1,0,0,0,0,2,1,2,0,0,0,4,0,0,2,2,0,2,0,0,0,0,1,0,0,0
TAJIKISTAN,0,1,0,1,5,0,5,1,0,0,0,0,6,2,1,15,1,11,0,0,0,0,0,0,1,1
TANZANIA,0,0,3,0,1,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2
THAILAND,1,1,1,0,3,4,1,0,0,0,0,2,3,5,1,0,2,1,3,1,0,0,2,2,0,0
TOGO,1,1,0,1,2,0,2,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
TONGA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,7,0,0,4,2,0,0
TRINIDAD AND TOBAGO,3,3,6,15,2,0,0,1,0,0,2,0,1,22,7,6,6,8,1,0,0,0,0,1,0,2
TUNISIA,0,0,0,0,1,2,0,1,0,0,0,0,0,5,0,0,0,2,0,0,1,0,0,1,0,1
TURKIYE,3,6,17,8,2,6,1,8,1,0,2,3,4,12,6,23,28,13,4,0,14,4,5,3,1,8
TURKS AND CAICOS ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
UGANDA,0,0,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
UKRAINE,3,0,1,2,10,0,2,3,0,0,0,1,1,8,5,1,3,2,0,0,0,0,1,14,2,0
UNITED ARAB EMIRATES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
UNITED KINGDOM,2,3,13,2,8,4,3,3,0,0,1,5,3,20,8,6,15,15,1,3,1,1,0,3,3,9
URUGUAY,5,0,1,0,1,3,0,0,0,0,0,1,0,12,3,3,1,0,0,2,0,0,2,0,0,0
USSR,0,0,0,0,1,0,0,0,0,0,1,0,2,2,0,0,0,1,0,0,0,0,1,1,0,0
UZBEKISTAN,6,14,0,5,10,1,21,36,2,0,0,0,4,5,25,107,6,119,3,1,0,5,5,3,2,1
VENEZUELA,533,41,51,56,420,855,452,194,235,2,520,546,67,608,297,281,231,76,138,95,720,7,9,140,61,83
VIETNAM,18,2,4,6,10,9,0,2,11,0,1,26,136,5,24,0,2,4,4,3,6,6,19,2,2,2
YEMEN,1,0,1,1,0,2,0,3,0,0,0,1,0,0,2,2,0,1,0,0,0,2,0,0,0,0
YUGOSLAVIA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
ZAMBIA,1,1,0,1,1,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0
ZIMBABWE,1,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,2,0,0,0,0,0,0,0,2,0
